Official Symbol,Gene ID,Protein name,Swiss-Prot ID,Synonyms,Functional Category,FA
"ACTN1",87,"Actinin","P12814","alpha-actinin","Actin regulation","Intrinsic Proteins"
"CFL1",1072,"cofilin","P23528","CFL","Actin regulation","Intrinsic Proteins"
"CORO1B",57175,"coronin 1B","Q9BR76","coronin-2","Actin regulation","Intrinsic Proteins"
"CTTN",2017,"Cortactin","Q14247","EMS1, Amplaxin","Actin regulation","Intrinsic Proteins"
"FLNA",2316,"Filamin","P21333","endothelial actin-binding protein, ABP-280, alpha-filamin, OPD2","Actin regulation","Intrinsic Proteins"
"KEAP1",9817,"Keap1","Q14145","Kelch-like protein19, cytosolic inhibitor of Nrf2, KLHL19","Actin regulation","Intrinsic Proteins"
"LASP1",3927,"Lasp-1","Q14847","MLN50, LIM and SH3 domain protein1","Actin regulation","Intrinsic Proteins"
"ENAH",55740,"Mena","Q8N8S7","ENAH","Actin regulation","Intrinsic Proteins"
"NEXN",91624,"Nelin","Q7Z2X0","Nexilin","Actin regulation","Intrinsic Proteins"
"SVIL",6840,"supervillin","O95425","archvillin; membrane-associated F-actin binding protein p205","Actin regulation","Intrinsic Proteins"
"VASP",7408,"VASP","P50552","Vasodilator-stimulated phosphoprotein","Actin regulation","Intrinsic Proteins"
"CORO2A",7464,"coronin-2A","Q92828","IR10; WDR2; CLIPINB","Actin regulation","Intrinsic Proteins"
"ACTB",60,"actin ","P60709","PS1TP5BP1","Adaptor","Intrinsic Proteins"
"JUB",84962,"ajuba ","Q96IF1","JUB","Adaptor","Intrinsic Proteins"
"SORBS2",8470,"ArgBP2","Q96EX0","SORBS2","Adaptor","Intrinsic Proteins"
"BCAR1",9564,"Cas","P56945","BCAR1, p130cas, crk associated substrate ","Adaptor","Intrinsic Proteins"
"CAV1",857,"Caveolin","Q03135","Caveolin-1, VIP21","Adaptor","Intrinsic Proteins"
"SMPX",23676,"Chisel","Q9UHP9","Smpx, small muscular protein","Adaptor","Intrinsic Proteins"
"SH3KBP1",30011,"CIN85","Q96B97","CIN85, SH3KBP1, Cbl-interacting protein of 85kDa, HSB-1, SH3 domain kinase-binding protein 1, SETA","Adaptor","Intrinsic Proteins"
"CRK",1398,"Crk","P46108","CrkII","Adaptor","Intrinsic Proteins"
"CRKL",1399,"CrkL","P46109","crk-like protein","Adaptor","Intrinsic Proteins"
"EZR",7430,"Ezrin","P15311","CVL; CVIL; VIL2","Adaptor","Intrinsic Proteins"
"FHL2",2274,"FHL2","Q14192","SLIM3, four and a half LIM domains protein 2, DRAL","Adaptor","Intrinsic Proteins"
